ano,posicion,indicador
2016,24.0,SOLICITUDES DE REGISTRO DE MARCAS POR MILLÓN DE HABITANTES
2017,23.0,SOLICITUDES DE REGISTRO DE MARCAS POR MILLÓN DE HABITANTES
2018,26.0,SOLICITUDES DE REGISTRO DE MARCAS POR MILLÓN DE HABITANTES
2019,25.0,SOLICITUDES DE REGISTRO DE MARCAS POR MILLÓN DE HABITANTES
2020,27.0,SOLICITUDES DE REGISTRO DE MARCAS POR MILLÓN DE HABITANTES
2021,25.0,SOLICITUDES DE REGISTRO DE MARCAS POR MILLÓN DE HABITANTES
2022,26.600000000000023,prediccion
2023,27.05714285714282,prediccion
2024,27.514285714285734,prediccion
2025,27.971428571428532,prediccion
